title,price,property_type,location,publication_date,link
Plateau moderne h 5 sup,3 500,Bureau,Zone urbaine no,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3316056
Villa usg professionnel,5 200,Bureau,El Menzah 1,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3382804
Plateau hall 8 à montpla,3 250,Bureau,Montplaisir,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3354251
Plateau sup 300 m à el m,5 000,Bureau,El Menzah 4,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3342830
Immeuble haut standing s,7 000,Bureau,Mutuelle Ville,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3342829
Villa haut standing à el,6 000,Maisons,El Menzah 5,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3335429
Villa usg hab ou bureaut,7 000,Maisons,Mutuelle Ville,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3347086
Terrain nu sidi thabet,609 520,Terrain nu,Sidi Thabet,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3232602
Terrain agricole chorfech,450 000,Terrain agr,Chorfech,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3109566
Maisons borj touil,350 000,Terrain nu,Borj Touil,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3333082
Propriétaire l s1 meublé,1 200,App. 2 pièc,El Menzah 9,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3298008
Particulier l s4 meublé,2 200,App. 5 pièc,El Aouina,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3359349
Usg habitation ou bureau,1 600,App. 3 pièc,El Menzah 4,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3341905
Immeuble  au zone indust,15 000,Surfaces,Rades,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3358718
Duplex moderne à mutuell,4 500,Duplex,Mutuelle Ville,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3362775
Villa usg professionnel,2 800,Maisons,Mutuelle Ville,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387054
Terrain nu manouba,221 000,Terrain nu,La Mannouba,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3367352
Terrain nu bou hnech 1,268 000,Terrain nu,Bou Hnech,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3142217
Cebalet ben ammar  terrain nu,235 000,Terrain nu,Cebalet Ben Amm,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=2995195
Al étage de villa laouina,1 100,App. 4 pièc,El Aouina,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3388421
Duplex sup 400musg hab o,5 000,Maisons,El Menzah 1,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3337320
Immeuble récemment const,60 000,Bureau,Cite Jardins,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3379580
Immeuble sur artère prin,11 000,Bureau,Tunis Belvedere,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3341911
S2 richement meublé,1 400,App. 2 pièc,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390602
Maison arabi ds 123m2 c,90 000,Maisons,El Haouaria,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3386979
Grande villa haute stand,700 000,Maisons,Cite Touristiqu,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3363725
Maison arabi et studio d,135 000,App. 4 pièc,El Haouaria,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3351974
A ne pas rater occasion,200 000,Maisons,La Mannouba,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3388591
Terrain 312 m  hammamet,78 000,Terrain agr,Zone Hoteliere,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3351642
Bureau 1er étage,1 200,Bureau,Le Bardo,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390601
Duplex 4 pièces,580 000,Duplex,Cite Ennasr 1,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390600
Pour promoteur,1 380 000,Maisons,Le Bardo,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3379424
Fond et mur,75 000,Autre,Bab Bhar,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3364801
Villa meublé avec trois,580 000,Maisons,Le Bardo,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3382110
Trois locaux commercial,7 800,App. 3 pièc,Korba Hached,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3369192
4600m nu à sidi salah ch,1 749 000,Terrain nu,Chotrana 1,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3364564
4605m la soukra chotrana,1 749 900,Terrain nu,Chotrana 1,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3358977
Appartement meublé haut,250,App. 3 pièc,Korba,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3384090
Appart meublé s et 2,140,App. 3 pièc,Korchine,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3292410
Terrain nu chorfech,150 000,Terrain nu,Chorfech,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3307526
Terrain nu manouba,221 000,Terrain nu,La Mannouba,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3367347
